name,rate,votes
The Good Bowl,3.6,8
Mahesh Friends Food Center,2.9,126
Juice Shop,3.4,24
Kabab Magic,4.0,952
Nammura Donne Biriyani,3.4,51
Burger King,3.8,472
Dadi's Dum Biryani,4.0,739
Krishna Kuteera South,4.0,117
Alankrutha,3.9,255
Paradise,4.0,1974
Kabab Mehal,3.7,65
Mughlai Kitchen,3.5,269
Andhra Ruchulu,4.2,1428
Sri Punjabi Dhaba,3.3,39
Arabian Mexico,3.4,43
CakeZone,3.7,13
Fujian Express,3.6,34
Indian Food,2.9,345
Tandoori Paradise,3.5,8
Kolkata Kathi Rolls,3.8,23
Adithya,4.0,332
Cheesiano Pizza,4.0,199
Polar Bear,3.9,20
Nati Palace,3.5,11
KFC,3.9,437
Dande's Hyderabad Biryani,3.8,207
Onesta,4.4,4381
Upahara Bhavan,3.8,55
Sher-E-Punjab,3.2,19
Shuddh Desi Khana,4.0,597
Karama Restaurant,3.5,16
Jaganath Hotel and Restaurant,3.6,35
Five Star Chicken,3.5,9
